merged_symbol	merged_geneid	mimnumber	gsymbols	gname	gphenotypes
INTS9	ENSG00000104299	611352	INTS9,_INT9,_RC74	Integrator_complex_subunit_9	
INTU	27152	610621	INTU,_KIAA1284,_PDZK6,_SRTD20,_OFD17	Inturned,_Drosophila,_homolog_of	?Orofaciodigital_syndrome_XVII,_617926_(3),_Autosomal_recessive,_?Short-rib_thoracic_dysplasia_20_with_polydactyly,_617925_(3),_Autosomal_recessive
INTU	ENSG00000164066	610621	INTU,_KIAA1284,_PDZK6,_SRTD20,_OFD17	Inturned,_Drosophila,_homolog_of	?Orofaciodigital_syndrome_XVII,_617926_(3),_Autosomal_recessive,_?Short-rib_thoracic_dysplasia_20_with_polydactyly,_617925_(3),_Autosomal_recessive
INVS	27130	243305	INVS,_INV,_NPHP2,_NPH2	Inversin	Nephronophthisis_2,_infantile,_602088_(3),_Autosomal_recessive
INVS	ENSG00000119509	243305	INVS,_INV,_NPHP2,_NPH2	Inversin	Nephronophthisis_2,_infantile,_602088_(3),_Autosomal_recessive
IP6K1	9807	606991	IHPK1,_IP6K1,_KIAA0263	Inositol_hexaphosphate_kinase_1	
IP6K1	ENSG00000176095	606991	IHPK1,_IP6K1,_KIAA0263	Inositol_hexaphosphate_kinase_1	
IP6K2	51447	606992	IHPK2,_IP6K2	Inositol_hexaphosphate_kinase_2	
IP6K2	ENSG00000068745	606992	IHPK2,_IP6K2	Inositol_hexaphosphate_kinase_2	
IP6K3	117283	606993	IHPK3,_INSP6K3,_IP6K3	Inositol_hexaphosphate_kinase_3	
IP6K3	ENSG00000161896	606993	IHPK3,_INSP6K3,_IP6K3	Inositol_hexaphosphate_kinase_3	
IPMK	253430	609851	IPMK	Inositol_polyphosphate_multikinase	
IPMK	ENSG00000151151	609851	IPMK	Inositol_polyphosphate_multikinase	
IPO11	51194	610889	IPO11,_RANBP11,_SLRN	Importin_11	
IPO11	ENSG00000086200	610889	IPO11,_RANBP11,_SLRN	Importin_11	
IPO13	9670	610411	IPO13,_IMP13,_KIAA0724,_RANBP13	Importin_13	
IPO13	ENSG00000117408	610411	IPO13,_IMP13,_KIAA0724,_RANBP13	Importin_13	
IPO5	3843	602008	IPO5,_RANBP5,_KPNB3	Importin_5	
IPO5	ENSG00000065150	602008	IPO5,_RANBP5,_KPNB3	Importin_5	
IPO7	10527	605586	IPO7,_RANBP7	Importin_7	
IPO7	ENSG00000205339	605586	IPO7,_RANBP7	Importin_7	
IPO8	10526	605600	IPO8,_RANBP8	Importin_8	
IPO8	ENSG00000133704	605600	IPO8,_RANBP8	Importin_8	
IPP	3652	147485	IPP	Intracisternal_A_particle-promoted_polypeptide	
IPP	ENSG00000197429	147485	IPP	Intracisternal_A_particle-promoted_polypeptide	
IPW	3653	601491	IPW	Imprinted_in_Prader-Willi_syndrome	
IQCB1	9657	609237	IQCB1,_NPHP5,_KIAA0036	IQ_motif-containing_protein_B1	Senior-Loken_syndrome_5,_609254_(3),_Autosomal_recessive
IQCB1	ENSG00000173226	609237	IQCB1,_NPHP5,_KIAA0036	IQ_motif-containing_protein_B1	Senior-Loken_syndrome_5,_609254_(3),_Autosomal_recessive
IQCE	23288	617631	IQCE,_KIAA1023,_PAPA7	IQ_domain-containing_protein_E	?Polydactyly,_postaxial,_type_A7,_617642_(3),_Autosomal_recessive
IQCE	ENSG00000106012	617631	IQCE,_KIAA1023,_PAPA7	IQ_domain-containing_protein_E	?Polydactyly,_postaxial,_type_A7,_617642_(3),_Autosomal_recessive
IQCG	84223	612477	IQCG	IQ_motif-containing_protein_G	
IQCG	ENSG00000114473	612477	IQCG	IQ_motif-containing_protein_G	
IQCH	64799	612523	IQCH,_NYDSP5	IQ_motif-containing_protein_H	
IQCH	ENSG00000103599	612523	IQCH,_NYDSP5	IQ_motif-containing_protein_H	
IQCJ	654502	611622	IQCJ	IQ_motif-containing_protein_J	
IQCJ	ENSG00000214216	611622	IQCJ	IQ_motif-containing_protein_J	
IQGAP1	8826	603379	IQGAP1,_SAR1	RASGAP-like_with_IQ_motifs_(sar1,_S._pombe,_homolog_of)	
IQGAP1	ENSG00000140575	603379	IQGAP1,_SAR1	RASGAP-like_with_IQ_motifs_(sar1,_S._pombe,_homolog_of)	
IQGAP2	10788	605401	IQGAP2	IQ_motif-containing_GTPase-activating_protein-2	
IQGAP2	ENSG00000145703	605401	IQGAP2	IQ_motif-containing_GTPase-activating_protein-2	
IQSEC1	9922	610166	IQSEC1,_KIAA0763	IQ_motif-_and_Sec7_domain-containing_protein_1	
IQSEC1	ENSG00000144711	610166	IQSEC1,_KIAA0763	IQ_motif-_and_Sec7_domain-containing_protein_1	
IQSEC2	23096	300522	IQSEC2,_KIAA0522,_MRX1,_MRX78	IQ_motif-_and_Sec7_domain-containing_protein_2	Mental_retardation,_X-linked_1/78,_309530_(3),_X-linked_dominant
IQSEC2	ENSG00000124313	300522	IQSEC2,_KIAA0522,_MRX1,_MRX78	IQ_motif-_and_Sec7_domain-containing_protein_2	Mental_retardation,_X-linked_1/78,_309530_(3),_X-linked_dominant
IQSEC3	440073	612118	IQSEC3,_KIAA1110	IQ_motif-_and_SEC7_domain-containing_protein_3	
IQSEC3	ENSG00000120645	612118	IQSEC3,_KIAA1110	IQ_motif-_and_SEC7_domain-containing_protein_3	
IRAK1	3654	300283	IRAK1	Interleukin_1_receptor-associated_kinase_1	
IRAK1	ENSG00000184216	300283	IRAK1	Interleukin_1_receptor-associated_kinase_1	
IRAK1BP1	134728	615375	IRAK1BP1,_SIMPL	Interleukin_1_receptor-associated_kinase_1-binding_protein_1	
IRAK1BP1	ENSG00000146243	615375	IRAK1BP1,_SIMPL	Interleukin_1_receptor-associated_kinase_1-binding_protein_1	
IRAK2	3656	603304	IRAK2	Interleukin_1_receptor-associated_kinase_2	
IRAK2	ENSG00000134070	603304	IRAK2	Interleukin_1_receptor-associated_kinase_2	
IRAK3	11213	604459	IRAK3,_IRAKM,_ASRT5	Interleukin_1_receptor-associated_kinase_3	{Asthma_susceptibility_5},_611064_(3)
IRAK3	ENSG00000090376	604459	IRAK3,_IRAKM,_ASRT5	Interleukin_1_receptor-associated_kinase_3	{Asthma_susceptibility_5},_611064_(3)
IRAK4	51135	606883	IRAK4,_REN64,_IPD1	Interleukin_1_receptor-associated_kinase_4	IRAK4_deficiency,_607676_(3),_Invasive_pneumococcal_disease,_recurrent_isolated,_1,_610799_(3)
IRAK4	ENSG00000198001	606883	IRAK4,_REN64,_IPD1	Interleukin_1_receptor-associated_kinase_4	IRAK4_deficiency,_607676_(3),_Invasive_pneumococcal_disease,_recurrent_isolated,_1,_610799_(3)
IREB2	3658	147582	IREB2,_NDCAMA	Iron-responsive_element-binding_protein-2	?Neurodegeneration,_early-onset,_with_choreoathetoid_movements_and_microcytic_anemia,_618451_(3),_Autosomal_recessive
IREB2	ENSG00000136381	147582	IREB2,_NDCAMA	Iron-responsive_element-binding_protein-2	?Neurodegeneration,_early-onset,_with_choreoathetoid_movements_and_microcytic_anemia,_618451_(3),_Autosomal_recessive
IRF1	3659	147575	IRF1,_MAR	Interferon_regulatory_factor-1	Gastric_cancer,_somatic,_613659_(3),_Myelodysplastic_syndrome,_preleukemic_(3),_Myelogenous_leukemia,_acute_(3),_Nonsmall_cell_lung_cancer,_somatic,_211980_(3)
IRF1	ENSG00000125347	147575	IRF1,_MAR	Interferon_regulatory_factor-1	Gastric_cancer,_somatic,_613659_(3),_Myelodysplastic_syndrome,_preleukemic_(3),_Myelogenous_leukemia,_acute_(3),_Nonsmall_cell_lung_cancer,_somatic,_211980_(3)
IRF2	3660	147576	IRF2	Interferon_regulatory_factor-2	
IRF2	ENSG00000168310	147576	IRF2	Interferon_regulatory_factor-2	
IRF2BP1	26145	615331	IRF2BP1	Interferon_regulatory_factor_2-binding_protein_1	
IRF2BP1	ENSG00000170604	615331	IRF2BP1	Interferon_regulatory_factor_2-binding_protein_1	
IRF2BP2	359948	615332	IRF2BP2,_CVID14	Interferon_regulatory_factor_2-binding_protein_2	?Immunodeficiency,_common_variable,_14,_617765_(3),_Autosomal_dominant
IRF2BP2	ENSG00000168264	615332	IRF2BP2,_CVID14	Interferon_regulatory_factor_2-binding_protein_2	?Immunodeficiency,_common_variable,_14,_617765_(3),_Autosomal_dominant
IRF2BPL	64207	611720	IRF2BPL,_C14orf4,_EAP1,_NEDAMSS	Interferon_regulatory_factor_2-binding_protein_like	Neurodevelopmental_disorder_with_regression,_abnormal_movements,_loss_of_speech,_and_seizures,_618088_(3),_Autosomal_dominant
IRF2BPL	ENSG00000119669	611720	IRF2BPL,_C14orf4,_EAP1,_NEDAMSS	Interferon_regulatory_factor_2-binding_protein_like	Neurodevelopmental_disorder_with_regression,_abnormal_movements,_loss_of_speech,_and_seizures,_618088_(3),_Autosomal_dominant
IRF3	3661	603734	IRF3,_IIAE7	Interferon_regulatory_factor_3	{Encephalopathy,_acute,_infection-induced_(herpes-specific),_susceptibility_to,_7},_616532_(3),_Autosomal_dominant
IRF3	ENSG00000126456	603734	IRF3,_IIAE7	Interferon_regulatory_factor_3	{Encephalopathy,_acute,_infection-induced_(herpes-specific),_susceptibility_to,_7},_616532_(3),_Autosomal_dominant
IRF4	3662	601900	IRF4,_LSIRF,_SHEP8	Interferon_regulatory_factor-4	[Skin/hair/eye_pigmentation,_variation_in,_8],_611724_(3)
IRF4	ENSG00000137265	601900	IRF4,_LSIRF,_SHEP8	Interferon_regulatory_factor-4	[Skin/hair/eye_pigmentation,_variation_in,_8],_611724_(3)
IRF5	3663	607218	IRF5,_IBD14,_SLEB10	Interferon_regulatory_factor_5	{Inflammatory_bowel_disease_14},_612245_(3),_{Systemic_lupus_erythematosus,_susceptibility_to,_10},_612251_(3)
IRF5	ENSG00000128604	607218	IRF5,_IBD14,_SLEB10	Interferon_regulatory_factor_5	{Inflammatory_bowel_disease_14},_612245_(3),_{Systemic_lupus_erythematosus,_susceptibility_to,_10},_612251_(3)
IRF6	3664	607199	IRF6,_VWS,_LPS,_PIT,_PPS1,_OFC6	Interferon_regulatory_factor_6	{Orofacial_cleft_6},_608864_(3),_Autosomal_dominant,_Popliteal_pterygium_syndrome_1,_119500_(3),_Autosomal_dominant,_van_der_Woude_syndrome,_119300_(3),_Autosomal_dominant
IRF6	ENSG00000117595	607199	IRF6,_VWS,_LPS,_PIT,_PPS1,_OFC6	Interferon_regulatory_factor_6	{Orofacial_cleft_6},_608864_(3),_Autosomal_dominant,_Popliteal_pterygium_syndrome_1,_119500_(3),_Autosomal_dominant,_van_der_Woude_syndrome,_119300_(3),_Autosomal_dominant
IRF7	3665	605047	IRF7,_IRF7A,_IRF7B,_IRF7C,_IRF7H,_IMD39	Interferon_regulatory_factor_7	?Immunodeficiency_39,_616345_(3),_Autosomal_recessive
IRF7	ENSG00000185507	605047	IRF7,_IRF7A,_IRF7B,_IRF7C,_IRF7H,_IMD39	Interferon_regulatory_factor_7	?Immunodeficiency_39,_616345_(3),_Autosomal_recessive
IRF8	3394	601565	IRF8,_ICSBP1,_IMD32A,_IMD32B	Interferon_regulatory_factor_8	Immunodeficiency_32A,_mycobacteriosis,_autosomal_dominant,_614893_(3),_Autosomal_dominant,_Immunodeficiency_32B,_monocyte_and_dendritic_cell_deficiency,_autosomal_recessive,_226990_(3),_Autosomal_recessive
IRF8	ENSG00000140968	601565	IRF8,_ICSBP1,_IMD32A,_IMD32B	Interferon_regulatory_factor_8	Immunodeficiency_32A,_mycobacteriosis,_autosomal_dominant,_614893_(3),_Autosomal_dominant,_Immunodeficiency_32B,_monocyte_and_dendritic_cell_deficiency,_autosomal_recessive,_226990_(3),_Autosomal_recessive
IRF9	10379	147574	ISGF3,_ISGF3G	Interferon-stimulated_gene_transcription_factor_3,_gamma,_48kD	
IRF9	ENSG00000213928	147574	ISGF3,_ISGF3G	Interferon-stimulated_gene_transcription_factor_3,_gamma,_48kD	
IRG1	730249	615275	ACOD1,_IRG1	Aconitate_decarboxylase_1	
IRG1	ENSG00000102794	615275	ACOD1,_IRG1	Aconitate_decarboxylase_1	
IRGM	345611	608212	IRGM,_LRG47,_IFI1,_IBD19	Immunity-related_GTPase_family,_M	{Inflammatory_bowel_disease_(Crohn_disease)_19},_612278_(3),_{Mycobacterium_tuberculosis,_protection_against},_607948_(3)
IRGM	ENSG00000237693	608212	IRGM,_LRG47,_IFI1,_IBD19	Immunity-related_GTPase_family,_M	{Inflammatory_bowel_disease_(Crohn_disease)_19},_612278_(3),_{Mycobacterium_tuberculosis,_protection_against},_607948_(3)
IRS1	3667	147545	IRS1	Insulin_receptor_substrate-1	{Coronary_artery_disease,_susceptibility_to}_(3),_{Diabetes_mellitus,_noninsulin-dependent},_125853_(3),_Autosomal_dominant
IRS1	ENSG00000169047	147545	IRS1	Insulin_receptor_substrate-1	{Coronary_artery_disease,_susceptibility_to}_(3),_{Diabetes_mellitus,_noninsulin-dependent},_125853_(3),_Autosomal_dominant
IRS2	8660	600797	IRS2	Insulin_receptor_substrate_2	{Diabetes_mellitus,_noninsulin-dependent},_125853_(3),_Autosomal_dominant
IRS2	ENSG00000185950	600797	IRS2	Insulin_receptor_substrate_2	{Diabetes_mellitus,_noninsulin-dependent},_125853_(3),_Autosomal_dominant
IRS4	8471	300904	IRS4	Insulin_receptor_substrate_4	
IRS4	ENSG00000133124	300904	IRS4	Insulin_receptor_substrate_4	
IRX1	79192	606197	IRX1	Iroquois_homeo_box_protein_1	
IRX1	ENSG00000170549	606197	IRX1	Iroquois_homeo_box_protein_1	
IRX2	153572	606198	IRX2	Iroquois_homeo_box_protein_2	
IRX2	ENSG00000170561	606198	IRX2	Iroquois_homeo_box_protein_2	
IRX3	79191	612985	IRX3,_IRXB1	Iroquois_homeobox_protein_3	
IRX3	ENSG00000177508	612985	IRX3,_IRXB1	Iroquois_homeobox_protein_3	
IRX4	50805	606199	IRX4	Iroquois_homeobox_protein_4	
IRX4	ENSG00000113430	606199	IRX4	Iroquois_homeobox_protein_4	
IRX5	10265	606195	IRX5,_HMMS	Iroquois_homeo_box_protein_5	Hamamy_syndrome,_611174_(3),_Autosomal_recessive
IRX5	ENSG00000176842	606195	IRX5,_HMMS	Iroquois_homeo_box_protein_5	Hamamy_syndrome,_611174_(3),_Autosomal_recessive
IRX6	79190	606196	IRX6,_IRX7	Iroquois_homeo_box_protein_6	
IRX6	ENSG00000159387	606196	IRX6,_IRX7	Iroquois_homeo_box_protein_6	
ISCA1	81689	611006	ISCA1,_HBLD2,_HISCA,_MMDS5	Iron-sulfur_cluster_assembly_1,_S._cerevisiae,_homolog_of	Multiple_mitochondrial_dysfunctions_syndrome_5,_617613_(3),_Autosomal_recessive
ISCA1	ENSG00000135070	611006	ISCA1,_HBLD2,_HISCA,_MMDS5	Iron-sulfur_cluster_assembly_1,_S._cerevisiae,_homolog_of	Multiple_mitochondrial_dysfunctions_syndrome_5,_617613_(3),_Autosomal_recessive
ISCA2	122961	615317	ISCA2,_MMDS4	Iron-sulfur_cluster_assembly_2,_S._cerevisiae,_homolog_of	Multiple_mitochondrial_dysfunctions_syndrome_4,_616370_(3),_Autosomal_recessive
ISCA2	ENSG00000165898	615317	ISCA2,_MMDS4	Iron-sulfur_cluster_assembly_2,_S._cerevisiae,_homolog_of	Multiple_mitochondrial_dysfunctions_syndrome_4,_616370_(3),_Autosomal_recessive
ISCU	23479	611911	ISCU,_HML	Iron-sulfur_cluster_scaffold,_E._coli,_homolog_of	Myopathy_with_lactic_acidosis,_hereditary,_255125_(3),_Autosomal_recessive
ISCU	ENSG00000136003	611911	ISCU,_HML	Iron-sulfur_cluster_scaffold,_E._coli,_homolog_of	Myopathy_with_lactic_acidosis,_hereditary,_255125_(3),_Autosomal_recessive
ISG15	9636	147571	ISG15,_G1P2,_IFI15,_IMD38	ISG15_ubiquitin-like_modifier	Immunodeficiency_38,_616126_(3),_Autosomal_recessive
ISG15	ENSG00000187608	147571	ISG15,_G1P2,_IFI15,_IMD38	ISG15_ubiquitin-like_modifier	Immunodeficiency_38,_616126_(3),_Autosomal_recessive
ISG20	3669	604533	ISG20,_HEM45	Interferon-stimulated_gene,_20kD	
ISG20	ENSG00000172183	604533	ISG20,_HEM45	Interferon-stimulated_gene,_20kD	
ISG20L2	81875	611930	ISG20L2	Interferon-stimulated_exonuclease_gene_20-kD-like_2	
ISG20L2	ENSG00000143319	611930	ISG20L2	Interferon-stimulated_exonuclease_gene_20-kD-like_2	
ISL1	3670	600366	ISL1	ISL1_transcription_factor,_LIM/homeodomain_(islet-1)	
ISL1	ENSG00000016082	600366	ISL1	ISL1_transcription_factor,_LIM/homeodomain_(islet-1)	
ISLR	3671	602059	ISLR	Immunoglobulin_superfamily_containing_leucine-rich_repeat	
ISLR	ENSG00000129009	602059	ISLR	Immunoglobulin_superfamily_containing_leucine-rich_repeat	
ISLR2	57611	614179	ISLR2,_LINX,_KIAA1464	Immunoglobulin_superfamily_containing_leucine-rich_repeat_2	
ISLR2	ENSG00000167178	614179	ISLR2,_LINX,_KIAA1464	Immunoglobulin_superfamily_containing_leucine-rich_repeat_2	
ISM1	140862	615793	ISM1,_ISM	Isthmin_1,_angiogenesis_inhibitor	
ISM1	ENSG00000101230	615793	ISM1,_ISM	Isthmin_1,_angiogenesis_inhibitor	
ISM2	145501	612684	ISM2,_THSD3,_TAIL1	Isthmin_2,_zebrafish,_homolog_of	
ISM2	ENSG00000100593	612684	ISM2,_THSD3,_TAIL1	Isthmin_2,_zebrafish,_homolog_of	
ISOC2	79763	612928	ISOC2	Isochorismatase_domain-containing_2	
ISOC2	ENSG00000063241	612928	ISOC2	Isochorismatase_domain-containing_2	
ISPD	729920	614631	ISPD,_MDDGA7,_MDDGC7,_LGMDR20	Isoprenoid_synthase_domain-containing_protein	Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_7,_614643_(3),_Autosomal_recessive,_Muscular_dystrophy-dystroglycanopathy_(limb-girdle),_type_C,_7,_616052_(3),_Autosomal_recessive
ISPD	ENSG00000214960	614631	ISPD,_MDDGA7,_MDDGC7,_LGMDR20	Isoprenoid_synthase_domain-containing_protein	Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A,_7,_614643_(3),_Autosomal_recessive,_Muscular_dystrophy-dystroglycanopathy_(limb-girdle),_type_C,_7,_616052_(3),_Autosomal_recessive
IST1	9798	616434	IST1,_KIAA0174	Increased_sodium_tolerance_1,_yeast,_homolog_of	
IST1	ENSG00000182149	616434	IST1,_KIAA0174	Increased_sodium_tolerance_1,_yeast,_homolog_of	
ISX	91464	612019	ISX,_RAXLX	Intestine-specific_homeobox	
ISX	ENSG00000175329	612019	ISX,_RAXLX	Intestine-specific_homeobox	
ISY1	57461	612764	ISY1,_KIAA1160	ISY1_splicing_factor,_S._cerevisiae,_homolog_of	
ISY1	ENSG00000240682	612764	ISY1,_KIAA1160	ISY1_splicing_factor,_S._cerevisiae,_homolog_of	
ISYNA1	51477	611670	ISYNA1,_IPS	Myoinositol_1-phosphate_synthase_A1	
ISYNA1	ENSG00000105655	611670	ISYNA1,_IPS	Myoinositol_1-phosphate_synthase_A1	
ITCH	83737	606409	ITCH,_AIP4,_NAPP1,_ADMFD	Itchy,_mouse,_homolog_of	Autoimmune_disease,_multisystem,_with_facial_dysmorphism,_613385_(3),_Autosomal_recessive
ITCH	ENSG00000078747	606409	ITCH,_AIP4,_NAPP1,_ADMFD	Itchy,_mouse,_homolog_of	Autoimmune_disease,_multisystem,_with_facial_dysmorphism,_613385_(3),_Autosomal_recessive
ITFG1	81533	611803	ITFG1,_TIP	Integrin-alpha_FG-gap_repeat-containing_protein_1	
ITFG1	ENSG00000129636	611803	ITFG1,_TIP	Integrin-alpha_FG-gap_repeat-containing_protein_1	
ITFG2	55846	617421	ITFG2,_FGGAP1	Integrin-alpha_FG-GAP_repeat-containing_protein_2	
ITFG2	ENSG00000111203	617421	ITFG2,_FGGAP1	Integrin-alpha_FG-GAP_repeat-containing_protein_2	
ITGA1	3672	192968	ITGA1,_VLA1	Integrin,_alpha-1	
ITGA1	ENSG00000213949	192968	ITGA1,_VLA1	Integrin,_alpha-1	
ITGA10	8515	604042	ITGA10	Integrin,_alpha-10	
ITGA10	ENSG00000143127	604042	ITGA10	Integrin,_alpha-10	
ITGA11	22801	604789	ITGA11	Integrin,_alpha-11	
ITGA11	ENSG00000137809	604789	ITGA11	Integrin,_alpha-11	
ITGA2	3673	192974	ITGA2,_CD49B,_BR,_BDPLT9	Integrin,_alpha-2_(CD49B,_alpha-2_subunit_of_VLA-2_receptor,_platelet_antigen_Br)	?Glycoprotein_Ia_deficiency,_614200_(1),_Autosomal_dominant
ITGA2	ENSG00000164171	192974	ITGA2,_CD49B,_BR,_BDPLT9	Integrin,_alpha-2_(CD49B,_alpha-2_subunit_of_VLA-2_receptor,_platelet_antigen_Br)	?Glycoprotein_Ia_deficiency,_614200_(1),_Autosomal_dominant
ITGA2B	3674	607759	ITGA2B,_GP2B,_CD41B,_GT,_BDPLT2,_BDPLT16	Integrin,_alpha-2b_(platelet_glycoprotein_IIb_of_IIb/IIIa_complex,_antigen_CD41B)	Bleeding_disorder,_platelet-type,_16,_autosomal_dominant,_187800_(3),_Autosomal_dominant,_Glanzmann_thrombasthenia,_273800_(3),_Autosomal_recessive,_Thrombocytopenia,_neonatal_alloimmune,_BAK_antigen_related_(3)
ITGA2B	ENSG00000005961	607759	ITGA2B,_GP2B,_CD41B,_GT,_BDPLT2,_BDPLT16	Integrin,_alpha-2b_(platelet_glycoprotein_IIb_of_IIb/IIIa_complex,_antigen_CD41B)	Bleeding_disorder,_platelet-type,_16,_autosomal_dominant,_187800_(3),_Autosomal_dominant,_Glanzmann_thrombasthenia,_273800_(3),_Autosomal_recessive,_Thrombocytopenia,_neonatal_alloimmune,_BAK_antigen_related_(3)
ITGA3	3675	605025	ITGA3,_CD49C,_GAPB3,_ILNEB	Integrin,_alpha-3	Interstitial_lung_disease,_nephrotic_syndrome,_and_epidermolysis_bullosa,_congenital,_614748_(3),_Autosomal_recessive
ITGA3	ENSG00000005884	605025	ITGA3,_CD49C,_GAPB3,_ILNEB	Integrin,_alpha-3	Interstitial_lung_disease,_nephrotic_syndrome,_and_epidermolysis_bullosa,_congenital,_614748_(3),_Autosomal_recessive
ITGA4	3676	192975	ITGA4,_CD49D	Integrin,_alpha-4_(antigen_CD49D,_alpha-4_subunit_of_VLA-4_receptor)	
ITGA4	ENSG00000115232	192975	ITGA4,_CD49D	Integrin,_alpha-4_(antigen_CD49D,_alpha-4_subunit_of_VLA-4_receptor)	
ITGA5	3678	135620	ITGA5,_FNRA,_VLA5A	Integrin,_alpha-5_(fibronectin_receptor,_alpha_subunit,_very_late_activation_protein-5,_alpha_subunit)	
ITGA5	ENSG00000161638	135620	ITGA5,_FNRA,_VLA5A	Integrin,_alpha-5_(fibronectin_receptor,_alpha_subunit,_very_late_activation_protein-5,_alpha_subunit)	
ITGA6	3655	147556	ITGA6	Integrin,_alpha-6	Epidermolysis_bullosa,_junctional,_with_pyloric_stenosis,_226730_(3),_Autosomal_recessive
ITGA6	ENSG00000091409	147556	ITGA6	Integrin,_alpha-6	Epidermolysis_bullosa,_junctional,_with_pyloric_stenosis,_226730_(3),_Autosomal_recessive
ITGA7	3679	600536	ITGA7	Integrin,_alpha-7	Muscular_dystrophy,_congenital,_due_to_ITGA7_deficiency,_613204_(3),_Autosomal_recessive
ITGA7	ENSG00000135424	600536	ITGA7	Integrin,_alpha-7	Muscular_dystrophy,_congenital,_due_to_ITGA7_deficiency,_613204_(3),_Autosomal_recessive
ITGA8	8516	604063	ITGA8,_RHDA1	Integrin,_alpha-8	Renal_hypodysplasia/aplasia_1,_191830_(3),_Autosomal_recessive
ITGA8	ENSG00000077943	604063	ITGA8,_RHDA1	Integrin,_alpha-8	Renal_hypodysplasia/aplasia_1,_191830_(3),_Autosomal_recessive
ITGA9	3680	603963	ITGA9	Integrin,_alpha-9	
ITGA9	ENSG00000144668	603963	ITGA9	Integrin,_alpha-9	
ITGAD	3681	602453	ITGAD,_CD11D	Integrin,_alpha_D	
ITGAD	ENSG00000156886	602453	ITGAD,_CD11D	Integrin,_alpha_D	
ITGAE	3682	604682	ITGAE,_CD103	Integrin,_alpha-E	
ITGAE	ENSG00000083457	604682	ITGAE,_CD103	Integrin,_alpha-E	
ITGAL	3683	153370	ITGAL,_CD11A,_LFA1A	Integrin,_alpha-L_(antigen_CD11A_(p180),_lymphocyte_function-associated_antigen-1,_alpha_polypeptide)	
ITGAL	ENSG00000005844	153370	ITGAL,_CD11A,_LFA1A	Integrin,_alpha-L_(antigen_CD11A_(p180),_lymphocyte_function-associated_antigen-1,_alpha_polypeptide)	
ITGAM	3684	120980	ITGAM,_CR3A,_CD11B,_MAC1A,_SLEB6	Integrin,_alpha-M_(complement_component_receptor-3,_alpha,_antigen_CD11B_(p170),_macrophage_antigen,_alpha_polypeptide)	
ITGAM	ENSG00000169896	120980	ITGAM,_CR3A,_CD11B,_MAC1A,_SLEB6	Integrin,_alpha-M_(complement_component_receptor-3,_alpha,_antigen_CD11B_(p170),_macrophage_antigen,_alpha_polypeptide)	
ITGAV	3685	193210	ITGAV,_VNRA	Integrin,_alpha-V_(vitronectin_receptor,_alpha_polypeptide)	
ITGAV	ENSG00000138448	193210	ITGAV,_VNRA	Integrin,_alpha-V_(vitronectin_receptor,_alpha_polypeptide)	
ITGAX	3687	151510	ITGAX,_CD11C	Integrin,_alpha-X_(antigen_CD11C_(p150),_alpha_polypeptide)	
ITGAX	ENSG00000140678	151510	ITGAX,_CD11C	Integrin,_alpha-X_(antigen_CD11C_(p150),_alpha_polypeptide)	
ITGB1	3688	135630	ITGB1,_FNRB	Integrin,_beta-1_(fibronectin_receptor,_beta_polypeptide,_antigen_CD29_includes_MDF2,_MSK12)	
ITGB1	ENSG00000150093	135630	ITGB1,_FNRB	Integrin,_beta-1_(fibronectin_receptor,_beta_polypeptide,_antigen_CD29_includes_MDF2,_MSK12)	
ITGB1BP1	9270	607153	ITGB1BP1,_ICAP1,_ICAP1A,_ICAP1B	Integrin_cytoplasmic_domain-associated_protein_1_beta	
ITGB1BP1	ENSG00000119185	607153	ITGB1BP1,_ICAP1,_ICAP1A,_ICAP1B	Integrin_cytoplasmic_domain-associated_protein_1_beta	
ITGB1BP2	26548	300332	ITGB1BP2	Integrin,_beta-1,_binding_protein_of,_2	
ITGB1BP2	ENSG00000147166	300332	ITGB1BP2	Integrin,_beta-1,_binding_protein_of,_2	
ITGB2	3689	600065	ITGB2,_CD18,_LCAMB,_LAD	Integrin,_beta-2_(antigen_CD18_(p95),_lymphocyte_function-associated_antigen-1,_macrophage_antigen,_beta_polypeptide)	Leukocyte_adhesion_deficiency,_116920_(3),_Autosomal_recessive
ITGB2	ENSG00000160255	600065	ITGB2,_CD18,_LCAMB,_LAD	Integrin,_beta-2_(antigen_CD18_(p95),_lymphocyte_function-associated_antigen-1,_macrophage_antigen,_beta_polypeptide)	Leukocyte_adhesion_deficiency,_116920_(3),_Autosomal_recessive
ITGB3	3690	173470	ITGB3,_GP3A,_GT,_BDPLT2,_BDPLT16	Integrin,_beta-3_(platelet_glycoprotein_IIIa,_antigen_CD61)	Bleeding_disorder,_platelet-type,_16,_autosomal_dominant,_187800_(3),_Autosomal_dominant,_Glanzmann_thrombasthenia,_273800_(3),_Autosomal_recessive,_{Myocardial_infarction,_susceptibility_to},_608446_(3),_Purpura,_posttransfusion_(3),_Thrombocytopenia,_neonatal_alloimmune_(3)
